id,screen,layout,modules,asset_families,plan,scene_ids,character_pose,mockup_files,mockup,native_visual_review
screen-15,연결 계정,T04,"M01, M04, M05, M06, M08, M11, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/37-settings-connected-accounts.png,EXISTS_DRAFT,PENDING
screen-16,언어 설정,T04,"M01, M04, M05, M06, M08, M11, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/38-settings-language.png,EXISTS_DRAFT,PENDING
screen-17,랭킹 기본,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/50-ranking-speed.png,EXISTS_DRAFT,PENDING
screen-18,크루 생성,T05,"M01, M03, M04, M06, M11, M13, M14, M18",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/24-community-crew-create-v2.png,EXISTS_DRAFT,PENDING
screen-19,글 작성 기본,T05,"M01, M03, M04, M06, M11, M13, M14, M18",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/25-community-post-compose-v2.png,EXISTS_DRAFT,PENDING
screen-20,신발 상세,T03,"M01, M03, M04, M06, M07, M08, M09, M10, M12, M14",product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/31-items-sneaker-detail.png,EXISTS_DRAFT,PENDING
screen-21,크루 게시판,T04,"M01, M04, M05, M06, M08, M14, M18",native_UI_and_existing_icons,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/23-community-crew-board.png,EXISTS_DRAFT,PENDING
screen-22,번개 모임 상세,T03,"M01, M03, M04, M06, M08, M09, M10, M12, M14, M18",scene,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,Sunset (hero),none or inherited from parent,design/redesign-2026-09/screens/21-community-meetup-detail-v2.png,EXISTS_DRAFT,PENDING
screen-23,크루 대기실,T03,"M01, M03, M04, M06, M08, M09, M10, M12, M14, M18",native_UI_and_existing_icons,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/67-community-crew-lobby.png,EXISTS_DRAFT,PENDING
screen-24,로그인,T09,"M02, M03, M04, M13, M14, M15",scene; community_warmup_existing,"원본 로고 재사용; 배경 후보 공유, 새 로고 생성 없음",Night,none or inherited from parent,design/redesign-2026-09/screens/59-login.png,EXISTS_DRAFT,PENDING
screen-25,테마 설정,T04,"M01, M04, M05, M06, M08, M11, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/40-settings-theme.png,EXISTS_DRAFT,PENDING
screen-26,신발 도감,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/32-items-collection.png,EXISTS_DRAFT,PENDING
screen-27,소식 기본,T04,"M01, M04, M05, M06, M08, M14, M18",native_UI_and_existing_icons,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/60-news-races.png,EXISTS_DRAFT,PENDING
screen-28,옷장 의상,T01,"M01, M02, M03, M04, M05, M06, M07, M09, M10, M14, M15, M16",scene; avatar_packages; product_art,전신 재사용+분리 합성 검증; 공통 배경 후보 2장 공유,Wardrobe; Sunset,IDLE,design/redesign-2026-09/concepts/06-wardrobe.png,EXISTS_DRAFT,PENDING
screen-29,러너 마켓 기본,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",scene; avatar_packages; product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,RunNight (hero),RUN,design/redesign-2026-09/screens/33-items-runner-market.png,EXISTS_DRAFT,PENDING
screen-30,지도 기본,T07,"M01, M03, M04, M05, M08, M12, M14, M17",live_map_tiles_and_vectors,실제 지도 타일·벡터 마커; 풍경 이미지 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/75-map-nearby.png,EXISTS_DRAFT,PENDING
screen-31,기록 지도 기본,T07,"M01, M03, M04, M05, M08, M12, M14, M17",live_map_tiles_and_vectors,실제 지도 타일·벡터 마커; 풍경 이미지 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/79-history-map-empty.png,EXISTS_DRAFT,PENDING
screen-32,마켓 모델 상세,T03,"M01, M03, M04, M06, M07, M08, M09, M10, M12, M14",product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/34-items-market-detail.png,EXISTS_DRAFT,PENDING
screen-33,시작 로딩,T09,"M02, M03, M04, M13, M14, M15",scene,"원본 로고 재사용; 배경 후보 공유, 새 로고 생성 없음",Night (reveal),none or inherited from parent,design/redesign-2026-09/concepts/01-launch-loading.png,EXISTS_DRAFT,PENDING
screen-34,러닝 진행,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages,달리기 포즈 필요분 산정; 배경 재사용 우선,RunNight; RunSunset,RUN,design/redesign-2026-09/concepts/04-running.png,EXISTS_DRAFT,PENDING
screen-35,러닝 결과,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages,캐릭터·배경 재사용 우선; 필요 포즈 확인,RunNight; RunSunset,CHEER or IDLE,design/redesign-2026-09/screens/11-running-result.png,EXISTS_DRAFT,PENDING
screen-36,번개 모임 대기실,T03,"M01, M03, M04, M06, M08, M09, M10, M12, M14, M18",native_UI_and_existing_icons,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/22-community-meetup-lobby.png,EXISTS_DRAFT,PENDING
extra-home-details,홈 더보기,T08,"M03, M04, M06, M12, M14",native_UI_and_existing_icons,공통 아이콘·입력·시트 UI; 새 전신 생성 없음,HomeBlueNight; HomeDawn; Night (underlying home),IDLE (underlying home),design/redesign-2026-09/screens/66-home-details.png,EXISTS_DRAFT,PENDING
extra-community-crews,내 크루 탭,T04,"M01, M04, M05, M06, M08, M14, M18",native_UI_and_existing_icons,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/20-community-my-crew.png,EXISTS_DRAFT,PENDING
extra-community-stories,이야기 탭,T04,"M01, M04, M05, M06, M08, M14, M18",native_UI_and_existing_icons,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/19-community-stories-v2.png,EXISTS_DRAFT,PENDING
extra-community-meetups,다른 모임 목록,T04,"M01, M04, M05, M06, M08, M14, M18",scene; community_warmup_existing,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,HomeDawn,none or inherited from parent,design/redesign-2026-09/screens/13-community-meetups.png,EXISTS_DRAFT,PENDING
extra-challenge-weekly,주간 챌린지,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages,캐릭터·배경 재사용 우선; 필요 포즈 확인,RunSunset,IDLE,design/redesign-2026-09/screens/55-challenge-weekly.png,EXISTS_DRAFT,PENDING
extra-challenge-night,야간 챌린지,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages,캐릭터·배경 재사용 우선; 필요 포즈 확인,RunNight,IDLE,design/redesign-2026-09/screens/56-challenge-night.png,EXISTS_DRAFT,PENDING
extra-items-store,보관함 상점 탭,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/27-items-store.png,EXISTS_DRAFT,PENDING
extra-items-exchange,보관함 거래 탭,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/28-items-nft-market.png,EXISTS_DRAFT,PENDING
extra-items-my-trades,내 거래 탭,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/29-items-my-trades-empty-v2.png,EXISTS_DRAFT,PENDING
extra-items-filter,보관함 필터,T08,"M03, M04, M06, M07, M10, M11, M12, M14",product_art,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/30-items-filter.png,EXISTS_DRAFT,PENDING
extra-profile-settings,내 정보 설정 목록,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages; profile_bench,앉기·벤치 원본 필요; 부위 분리 검증 후 수량 확정,HomeBlueNight; HomeDawn,SIT or fallback IDLE,design/redesign-2026-09/screens/14-profile-settings.png,EXISTS_DRAFT,PENDING
extra-profile-edit,프로필 편집창,T08,"M03, M04, M06, M11, M12, M14",native_UI_and_existing_icons,공통 아이콘·입력·시트 UI; 새 전신 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/41-profile-edit.png,EXISTS_DRAFT,PENDING
extra-profile-goal,목표 설정창,T08,"M03, M04, M06, M11, M12, M14",native_UI_and_existing_icons,공통 아이콘·입력·시트 UI; 새 전신 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/42-profile-goal.png,EXISTS_DRAFT,PENDING
extra-courses-create,코스 만들기,T05,"M01, M03, M04, M06, M11, M13, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/70-courses-create-empty-v2.png,EXISTS_DRAFT,PENDING
extra-courses-board,코스 게시판,T07,"M01, M03, M04, M05, M08, M12, M14, M17",live_map_tiles_and_vectors,실제 지도 타일·벡터 마커; 풍경 이미지 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/77-courses-board-map.png,EXISTS_DRAFT,PENDING
extra-analytics-quarter,분기 통계,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/47-analytics-quarter-v2.png,EXISTS_DRAFT,PENDING
extra-ranking-time,시간 랭킹,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/51-ranking-time.png,EXISTS_DRAFT,PENDING
extra-ranking-speed,속도 랭킹,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/50-ranking-speed.png,EXISTS_DRAFT,PENDING
extra-ranking-factions,종족 랭킹,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/54-ranking-factions.png,EXISTS_DRAFT,PENDING
extra-ranking-sup,SUP 랭킹,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/52-ranking-sup.png,EXISTS_DRAFT,PENDING
extra-ranking-crews,크루 랭킹,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/53-ranking-crews.png,EXISTS_DRAFT,PENDING
extra-compose-free,자유글 작성,T05,"M01, M03, M04, M06, M11, M13, M14, M18",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/25-community-post-compose-v2.png,EXISTS_DRAFT,PENDING
extra-compose-tip,팁 작성,T05,"M01, M03, M04, M06, M11, M13, M14, M18",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/68-community-compose-tip-v2.png,EXISTS_DRAFT,PENDING
extra-news-health,건강 소식 탭,T04,"M01, M04, M05, M06, M08, M14, M18",native_UI_and_existing_icons,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/57-news-health.png,EXISTS_DRAFT,PENDING
extra-customize-shoes,옷장 신발,T01,"M01, M02, M03, M04, M05, M06, M07, M09, M10, M14, M15, M16",scene; avatar_packages; product_art,전신 재사용+분리 합성 검증; 공통 배경 후보 2장 공유,Wardrobe; Sunset,IDLE,design/redesign-2026-09/screens/71-customize-shoes-empty-v2.png,EXISTS_DRAFT,PENDING
extra-customize-options,옷장 더보기,T08,"M03, M04, M06, M07, M10, M12, M14",product_art,공통 아이콘·입력·시트 UI; 새 전신 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/72-customize-options.png,EXISTS_DRAFT,PENDING
extra-market-outfits,러너 마켓 의상 탭,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",scene; avatar_packages; product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,RunNight (hero),RUN,design/redesign-2026-09/screens/73-market-outfits.png,EXISTS_DRAFT,PENDING
extra-market-shoes,러너 마켓 신발 탭,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",scene; avatar_packages; product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,RunNight (hero),RUN,design/redesign-2026-09/screens/33-items-runner-market.png,EXISTS_DRAFT,PENDING
extra-map-territory,지도 영역 탭,T07,"M01, M03, M04, M05, M08, M12, M14, M17",live_map_tiles_and_vectors,실제 지도 타일·벡터 마커; 풍경 이미지 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/78-map-territory.png,EXISTS_DRAFT,PENDING
extra-history-month,기록 지도 월간,T07,"M01, M03, M04, M05, M08, M12, M14, M17",live_map_tiles_and_vectors,실제 지도 타일·벡터 마커; 풍경 이미지 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/80-history-map-month.png,EXISTS_DRAFT,PENDING
extra-history-all,기록 지도 전체,T07,"M01, M03, M04, M05, M08, M12, M14, M17",live_map_tiles_and_vectors,실제 지도 타일·벡터 마커; 풍경 이미지 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/81-history-map-all.png,EXISTS_DRAFT,PENDING
launch-logo-reveal,시작 로고 전환,T09,"M02, M03, M04, M13, M14, M15",scene,"원본 로고 재사용; 배경 후보 공유, 새 로고 생성 없음",Night (reveal),none or inherited from parent,design/redesign-2026-09/concepts/02-logo-reveal.png,EXISTS_DRAFT,PENDING
launch-preparation-error,시작 준비 실패·재시도,T09,"M02, M03, M04, M13, M14, M15",scene,"원본 로고 재사용; 배경 후보 공유, 새 로고 생성 없음",Night (hidden until reveal),none or inherited from parent,design/redesign-2026-09/screens/69-launch-error.png,EXISTS_DRAFT,PENDING
guide-00,러닝 첫 사용 안내,T08,"M03, M04, M06, M12, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,HomeBlueNight; HomeDawn; Night (underlying home),IDLE (underlying home),design/redesign-2026-09/screens/62-guide-running.png,EXISTS_DRAFT,PENDING
guide-01,꾸미기 첫 사용 안내,T08,"M03, M04, M06, M12, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,Wardrobe; Sunset (underlying wardrobe),IDLE (underlying wardrobe),design/redesign-2026-09/screens/63-guide-customize.png,EXISTS_DRAFT,PENDING
guide-02,커뮤니티 첫 사용 안내,T08,"M03, M04, M06, M12, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,HomeDawn (underlying community),none or inherited from parent,design/redesign-2026-09/screens/64-guide-community.png,EXISTS_DRAFT,PENDING
guide-03,내 정보 첫 사용 안내,T08,"M03, M04, M06, M12, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,HomeBlueNight; HomeDawn (underlying profile),SIT or fallback IDLE (underlying profile),design/redesign-2026-09/screens/65-guide-profile.png,EXISTS_DRAFT,PENDING
extra-analytics-day-details,통계 날짜 상세,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/48-analytics-day-detail.png,EXISTS_DRAFT,PENDING
extra-analytics-week-details,통계 주간 상세,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/49-analytics-week-detail.png,EXISTS_DRAFT,PENDING
extra-sneaker-upgrade-confirm,신발 강화 확인창,T08,"M03, M04, M06, M07, M10, M12, M14",product_art,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/74-sneaker-upgrade-confirm.png,EXISTS_DRAFT,PENDING
extra-community-comments-empty,게시글 댓글 시트·0개,T08,"M08, M11, M12, M14, M18",native_UI_and_existing_icons,커뮤니티 부모 시안 위 독립 시트 UI; 새 장식 원본 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/82-community-comments-empty.png,EXISTS_DRAFT,PENDING
extra-community-comments-replies,댓글·답글·알림 강조 상태,T08,"M08, M11, M12, M18",native_UI_and_existing_icons,"같은 시트 재사용, 스레드/답글/강조만 데이터 슬롯",parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/83-community-comments-replies.png,EXISTS_DRAFT,PENDING
extra-community-report-dialog,게시글/댓글 신고 창,T08,"M03, M08, M12, M13",native_UI_and_existing_icons,공통 AlertDialog와 신고 사유/차단 행; 새 장식 원본 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/84-community-report-dialog.png,EXISTS_DRAFT,PENDING
extra-community-board-load-failed,이야기 게시판 로딩 실패,T04,"M03, M08, M13, M14, M18",native_UI_and_existing_icons,지도 진입과 글쓰기 틀을 보존하고 오류·재시도 카드만 교체,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/85-community-board-load-failed.png,EXISTS_DRAFT,PENDING
extra-community-board-sign-in,이야기 게시판 재로그인 필요,T04,"M03, M08, M13, M14, M18",native_UI_and_existing_icons,글이 없는 상태와 구별하고 재로그인 행동 노출,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/86-community-board-sign-in.png,EXISTS_DRAFT,PENDING
extra-map-territory-sign-in,지도 영역 탭 로그인 필요,T07,"M05, M14, M17",live_map_tiles_and_vectors,"2D 타일 지도 유지, 영역 채색 없이 상태 문구만 분리 UI",parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/87-map-territory-sign-in.png,EXISTS_DRAFT,PENDING
extra-map-territory-zoom-in,지도 영역 탭 확대 필요,T07,"M05, M14, M17",live_map_tiles_and_vectors,"동일 2D 지도와 상태 문구, 임의 영역 없음",parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/88-map-territory-zoom-in.png,EXISTS_DRAFT,PENDING
extra-map-territory-empty,지도 영역 탭 소유 영역 없음,T07,"M05, M14, M17",live_map_tiles_and_vectors,좌표 데이터 없으면 색칠하지 않는 빈 상태,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/89-map-territory-empty.png,EXISTS_DRAFT,PENDING
extra-map-territory-load-failed,지도 영역 데이터 로딩 실패,T07,"M03, M05, M14, M17",live_map_tiles_and_vectors,지도 타일과 영역 데이터 상태를 분리하고 `다시` 행동 노출,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/90-map-territory-load-failed.png,EXISTS_DRAFT,PENDING
