id,family,gender,pose,variant,status,evidence,specification,usage
male-idle-worn_shoes-lit-010,worn_shoes,MALE,IDLE,LIT-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-011,worn_shoes,MALE,IDLE,LIT-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-012,worn_shoes,MALE,IDLE,LIT-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-013,worn_shoes,MALE,IDLE,LIT-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-001,worn_shoes,MALE,IDLE,WND-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-002,worn_shoes,MALE,IDLE,WND-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-003,worn_shoes,MALE,IDLE,WND-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-004,worn_shoes,MALE,IDLE,WND-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-005,worn_shoes,MALE,IDLE,WND-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-006,worn_shoes,MALE,IDLE,WND-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-007,worn_shoes,MALE,IDLE,WND-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-008,worn_shoes,MALE,IDLE,WND-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-009,worn_shoes,MALE,IDLE,WND-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-010,worn_shoes,MALE,IDLE,WND-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-011,worn_shoes,MALE,IDLE,WND-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-012,worn_shoes,MALE,IDLE,WND-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wnd-013,worn_shoes,MALE,IDLE,WND-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-body-base,body,MALE,RUN,base,NEW,,"1024x1536 transparent aligned body/face/eyes/skin; rear hair/arms and front hair/hands/occlusion layers; no outfit, cap or shoe",all character scenes
male-run-outfit-starter-hoodie,outfit,MALE,RUN,starter_hoodie,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-clo-001,outfit,MALE,RUN,CLO-001,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-clo-002,outfit,MALE,RUN,CLO-002,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-clo-003,outfit,MALE,RUN,CLO-003,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-clo-004,outfit,MALE,RUN,CLO-004,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-clo-005,outfit,MALE,RUN,CLO-005,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-studio-pink,outfit,MALE,RUN,STUDIO-PINK,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-studio-lavender,outfit,MALE,RUN,STUDIO-LAVENDER,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-outfit-studio-olive,outfit,MALE,RUN,STUDIO-OLIVE,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-run-cap-starter-hoodie,cap,MALE,RUN,starter_hoodie,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-run-cap-studio-pink,cap,MALE,RUN,STUDIO-PINK,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-run-cap-studio-lavender,cap,MALE,RUN,STUDIO-LAVENDER,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-run-cap-studio-olive,cap,MALE,RUN,STUDIO-OLIVE,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-run-worn_shoes-shoes-base,worn_shoes,MALE,RUN,SHOES-BASE,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-001,worn_shoes,MALE,RUN,FIR-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-002,worn_shoes,MALE,RUN,FIR-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-003,worn_shoes,MALE,RUN,FIR-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-004,worn_shoes,MALE,RUN,FIR-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-005,worn_shoes,MALE,RUN,FIR-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-006,worn_shoes,MALE,RUN,FIR-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-007,worn_shoes,MALE,RUN,FIR-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-008,worn_shoes,MALE,RUN,FIR-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-009,worn_shoes,MALE,RUN,FIR-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-010,worn_shoes,MALE,RUN,FIR-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-011,worn_shoes,MALE,RUN,FIR-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-012,worn_shoes,MALE,RUN,FIR-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-fir-013,worn_shoes,MALE,RUN,FIR-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-001,worn_shoes,MALE,RUN,WAT-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-002,worn_shoes,MALE,RUN,WAT-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-003,worn_shoes,MALE,RUN,WAT-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-004,worn_shoes,MALE,RUN,WAT-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-005,worn_shoes,MALE,RUN,WAT-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-006,worn_shoes,MALE,RUN,WAT-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-007,worn_shoes,MALE,RUN,WAT-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-008,worn_shoes,MALE,RUN,WAT-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-009,worn_shoes,MALE,RUN,WAT-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-010,worn_shoes,MALE,RUN,WAT-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-011,worn_shoes,MALE,RUN,WAT-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-012,worn_shoes,MALE,RUN,WAT-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wat-013,worn_shoes,MALE,RUN,WAT-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-001,worn_shoes,MALE,RUN,LIT-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-002,worn_shoes,MALE,RUN,LIT-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-003,worn_shoes,MALE,RUN,LIT-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-004,worn_shoes,MALE,RUN,LIT-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-005,worn_shoes,MALE,RUN,LIT-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-006,worn_shoes,MALE,RUN,LIT-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-007,worn_shoes,MALE,RUN,LIT-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-008,worn_shoes,MALE,RUN,LIT-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-009,worn_shoes,MALE,RUN,LIT-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-010,worn_shoes,MALE,RUN,LIT-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-011,worn_shoes,MALE,RUN,LIT-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-012,worn_shoes,MALE,RUN,LIT-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-lit-013,worn_shoes,MALE,RUN,LIT-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-001,worn_shoes,MALE,RUN,WND-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-002,worn_shoes,MALE,RUN,WND-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-003,worn_shoes,MALE,RUN,WND-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-004,worn_shoes,MALE,RUN,WND-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-005,worn_shoes,MALE,RUN,WND-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-006,worn_shoes,MALE,RUN,WND-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-007,worn_shoes,MALE,RUN,WND-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-008,worn_shoes,MALE,RUN,WND-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-009,worn_shoes,MALE,RUN,WND-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-010,worn_shoes,MALE,RUN,WND-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-011,worn_shoes,MALE,RUN,WND-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-012,worn_shoes,MALE,RUN,WND-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-run-worn_shoes-wnd-013,worn_shoes,MALE,RUN,WND-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-cheer-body-base,body,MALE,CHEER,base,NEW,,"1024x1536 transparent aligned body/face/eyes/skin; rear hair/arms and front hair/hands/occlusion layers; no outfit, cap or shoe",all character scenes
male-cheer-outfit-starter-hoodie,outfit,MALE,CHEER,starter_hoodie,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-cheer-outfit-clo-001,outfit,MALE,CHEER,CLO-001,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-cheer-outfit-clo-002,outfit,MALE,CHEER,CLO-002,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-cheer-outfit-clo-003,outfit,MALE,CHEER,CLO-003,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-cheer-outfit-clo-004,outfit,MALE,CHEER,CLO-004,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-cheer-outfit-clo-005,outfit,MALE,CHEER,CLO-005,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-cheer-outfit-studio-pink,outfit,MALE,CHEER,STUDIO-PINK,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
