path,title,work_item_or_state,status
design/redesign-2026-09/screens/66-home-details.png,66-home-details,extra-home-details,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/67-community-crew-lobby.png,67-community-crew-lobby,screen-23,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/68-community-compose-tip-v2.png,68-community-compose-tip-v2,extra-compose-tip,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/69-launch-error.png,69-launch-error,launch-preparation-error,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/70-courses-create-empty-v2.png,70-courses-create-empty-v2,extra-courses-create / 경로 없음,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/71-customize-shoes-empty-v2.png,71-customize-shoes-empty-v2,extra-customize-shoes / 보유 없음,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/72-customize-options.png,72-customize-options,extra-customize-options,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/73-market-outfits.png,73-market-outfits,extra-market-outfits,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/74-sneaker-upgrade-confirm.png,74-sneaker-upgrade-confirm,extra-sneaker-upgrade-confirm,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/75-map-nearby.png,75-map-nearby,screen-30,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/76-courses-select-map.png,76-courses-select-map,screen-07,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/77-courses-board-map.png,77-courses-board-map,extra-courses-board,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/78-map-territory.png,78-map-territory,extra-map-territory,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/79-history-map-empty.png,79-history-map-empty,screen-31,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/80-history-map-month.png,80-history-map-month,extra-history-month,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/81-history-map-all.png,81-history-map-all,extra-history-all,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/82-community-comments-empty.png,82-community-comments-empty,extra-community-comments-empty,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/83-community-comments-replies.png,83-community-comments-replies,extra-community-comments-replies,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/84-community-report-dialog.png,84-community-report-dialog,extra-community-report-dialog,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/85-community-board-load-failed.png,85-community-board-load-failed,extra-community-board-load-failed,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/86-community-board-sign-in.png,86-community-board-sign-in,extra-community-board-sign-in,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/87-map-territory-sign-in.png,87-map-territory-sign-in,extra-map-territory-sign-in,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/88-map-territory-zoom-in.png,88-map-territory-zoom-in,extra-map-territory-zoom-in,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/89-map-territory-empty.png,89-map-territory-empty,extra-map-territory-empty,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/90-map-territory-load-failed.png,90-map-territory-load-failed,extra-map-territory-load-failed,CURRENT_DRAFT_PENDING_NATIVE_REVIEW
design/redesign-2026-09/screens/15-running-stop-confirm.png,15-running-stop-confirm,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/19-community-stories.png,19-community-stories,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/21-community-meetup-detail.png,21-community-meetup-detail,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/24-community-crew-create.png,24-community-crew-create,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/25-community-post-compose.png,25-community-post-compose,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/29-items-my-trades-empty.png,29-items-my-trades-empty,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/39-settings-support.png,39-settings-support,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/44-wallet-empty.png,44-wallet-empty,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/46-analytics-week.png,46-analytics-week,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/47-analytics-quarter.png,47-analytics-quarter,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/68-community-compose-tip.png,68-community-compose-tip,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/70-courses-create-empty.png,70-courses-create-empty,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/71-customize-shoes-empty.png,71-customize-shoes-empty,superseded by current status-table draft,SUPERSEDED_REFERENCE
design/redesign-2026-09/screens/component-board.png,component board,M01-M18,SHARED_COMPONENT_DRAFT_PENDING_NATIVE_REVIEW
