S2,frame,nodeId,url,plan
13,crewJoined,5:1936,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-1936,"상태. 서버 참여 확정 후 상태, 대기실·참여 취소"
14,crewRun,5:2041,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-2041,상태/보완. 내 러닝+모임 맥락. 타인 실시간 위치는 별도 범위
15,crewMine,5:2206,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-2206,"재구성. 내 크루·참여 모임, 크루 게시판/대기실 연결"
16,onbBody,5:2388,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-2388,보완. 신체 정보 수집 목적·저장·선택 입력 정책 결정 전 보류
17,onbGoal,5:2548,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-2548,"보완. 체중 목표는 보류, 기존 걸음 목표 설정을 우선 재사용"
18,onbCourse,5:2679,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-2679,"재구성. 기존 코스 선택, 건너뛰기/자유 러닝 제공"
19,mode,5:2786,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-2786,보완. 모드 의미·자격·보상 차이가 미정. 첫 진입에서 강제하지 않음
20,runnerHome,5:2901,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-2901,보완. 별도 보상 체계를 만들지 않음. 차이 확정 전 01 홈 공유
21,wallet,5:3027,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3027,재구성. 잔액·정산 상태·내역·실제 지갑 연결
22,login,5:3257,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3257,"재구성. 원본 로고/풍경, 기존 Google 로그인·취소·오류 처리"
23,perm,5:3322,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3322,상태. 권한 설명과 시스템 요청. 거부해도 다음 행동 안내
24,countdown,5:3426,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3426,"상태. 준비 완료 후 시작, 취소/중복 시작 방지"
25,pause,5:3506,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3506,"상태. 기록 유지, 재개/종료"
26,confirm,5:3618,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3618,상태. 의미는 원본 확대 확인 필요. 기존 종료 확인과 보상 확인을 합치지 않음
27,shareCard,5:3722,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3722,"재구성/보완. 실제 저장 기록으로 공유물 생성, 시스템 공유, 취소"
28,invite,5:3842,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3842,보완. 기존 초대 기능 범위 확인 후 연결. 초대 보상 예시값 적용 금지
29,shoeDetail,5:3963,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-3963,"재구성. 실제 보유·레벨·스탯, 착용/강화/판매"
30,market,5:4094,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-4094,"재구성. 목록·필터·상세·재고/가격, 비어 있음/연결 오류"
31,purchase,5:4253,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-4253,상태. 실제 거래 확인·진행·성공·실패·취소
32,history,5:4347,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-4347,재구성. 기존 기록/통계·기간 선택·기록 상세 지도
33,challenge,5:4562,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-4562,재구성. 실제 목표/진행/수령. 업적 진입도 유지
34,notifications,5:4705,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-4705,재구성. 알림 목록·읽음·대상 화면 이동
35,settings,5:4870,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-4870,재구성. 설정 허브+기존 상세 설정 7개
36,errGps,5:5012,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5012,"상태. GPS 대기/정확도 저하 안내, 기록 처리와 재시도"
37,errVehicle,5:5132,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5132,상태/보완. 기존 감지 근거에 따른 주의 안내. 즉시 확정 제재로 표현하지 않음
38,errReward,5:5253,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5253,"상태. 정산 실패 이유/재시도, 운동 기록 보존"
39,errNoCrew,5:5333,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5333,"상태. 실제 빈 목록, 범위 변경·새 모임 만들기"
40,errOffline,5:5446,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5446,"상태. 오프라인 범위 안내, 로컬 기록과 서버 재시도 구분"
41,home-g,5:5550,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5550,변형. 광안리 기본 배경. 별도 홈 경로 아님
42,wx-day,5:5654,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5654,변형. 낮 배경. 실시간 날씨 표시로 사용하지 않음
43,wx-dusk,5:5794,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5794,변형. 해질녘 배경. 자동 전환 시간은 구현 단계에서 명시
44,wx-night,5:5940,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-5940,변형. 밤 배경. 같은 홈 구조 재사용
45,wx-rain,5:6077,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-6077,"변형. 비 배경. 우선 수동 배경 선택, 날씨 API는 별도 범위"
